age,job,marital,education,default,balance,housing,loan,contact,day_of_week,month,duration,campaign,pdays,previous,poutcome,y
48.42041778564453,management,single,tertiary,no,7249,no,yes,cellular,4,feb,102,2,77,1,failure,no
48.825439453125,management,single,tertiary,no,5,no,no,cellular,12,aug,105,2,-1,0,,no
49.034942626953125,management,single,tertiary,no,1146,no,yes,,19,may,458,4,-1,0,,no
48.59505081176758,management,single,tertiary,no,2329,no,no,cellular,29,jan,261,1,-1,0,,no
48.66975784301758,management,single,tertiary,no,-213,no,yes,cellular,4,feb,519,1,-1,0,,no
48.740478515625,management,single,tertiary,no,192,yes,no,,28,may,157,3,-1,0,,no
48.72321319580078,management,single,tertiary,no,0,yes,no,cellular,22,aug,64,2,-1,0,,no
48.278099060058594,management,single,tertiary,no,931,no,no,cellular,11,may,263,2,348,4,failure,no
49.08159255981445,management,single,tertiary,no,607,no,yes,,8,may,240,3,-1,0,,no
47.12860870361328,management,single,tertiary,no,14107,no,no,cellular,17,nov,98,1,-1,0,,no
48.748146057128906,management,single,tertiary,no,270,yes,no,,3,jun,116,1,-1,0,,no
49.22304153442383,management,single,tertiary,no,480,no,yes,telephone,15,jul,341,6,-1,0,,no
48.47100067138672,management,single,tertiary,no,2823,yes,no,,9,jun,411,2,-1,0,,no
48.856449127197266,management,single,tertiary,no,-1,yes,no,cellular,12,may,37,1,-1,0,,no
48.35442352294922,management,single,tertiary,no,2506,no,no,cellular,16,jul,377,1,228,3,failure,no
48.94863510131836,management,single,tertiary,no,683,yes,no,cellular,8,nov,507,1,-1,0,,no
48.92026901245117,management,single,tertiary,no,916,yes,no,cellular,11,may,472,2,-1,0,,no
48.26725769042969,management,single,tertiary,no,5414,yes,no,cellular,30,jul,166,4,-1,0,,no
48.37229919433594,management,single,tertiary,no,-407,no,no,cellular,14,may,210,2,352,1,failure,no
48.78008270263672,management,single,tertiary,no,949,yes,no,cellular,4,aug,91,1,-1,0,,no
48.71626281738281,management,single,tertiary,no,1340,yes,no,,5,jun,175,1,-1,0,,no
48.9731559753418,management,single,tertiary,no,450,yes,no,,9,jun,47,1,-1,0,,no
48.32124710083008,management,single,tertiary,no,1594,no,no,cellular,17,apr,110,1,260,5,failure,no
48.920780181884766,management,single,tertiary,no,762,yes,no,,8,may,288,1,-1,0,,no
48.177764892578125,management,single,tertiary,no,103,no,no,cellular,17,apr,2053,2,317,1,other,no
48.70140075683594,management,single,tertiary,no,389,yes,no,cellular,3,jun,837,1,-1,0,,yes
48.98194122314453,management,single,tertiary,no,17,no,no,cellular,15,jul,123,4,-1,0,,no
48.3032341003418,management,single,tertiary,no,4166,no,no,,16,jun,314,3,-1,0,,no
